Fri Jan 15 03:09:06 2021 Fold 1, Epoch 41, lr: 0.0000199, train loss: 0.00797, valid loss: 6.30952, Acc: 93.9394, AUC: 0.060606.
Fri Jan 15 03:10:33 2021 Fold 1, Epoch 42, lr: 0.0000162, train loss: 0.00398, valid loss: 3.75000, Acc: 96.3636, AUC: 0.036364.
Fri Jan 15 03:11:59 2021 Fold 1, Epoch 43, lr: 0.0000129, train loss: 0.00336, valid loss: 6.90476, Acc: 93.3333, AUC: 0.066667.
Fri Jan 15 03:13:26 2021 Fold 1, Epoch 44, lr: 0.0000099, train loss: 0.00069, valid loss: 2.08333, Acc: 97.8788, AUC: 0.021212.
Fri Jan 15 03:14:53 2021 Fold 1, Epoch 45, lr: 0.0000073, train loss: 0.00286, valid loss: 4.22619, Acc: 96.0606, AUC: 0.039394.
Fri Jan 15 03:16:20 2021 Fold 1, Epoch 46, lr: 0.0000051, train loss: 0.00009, valid loss: 2.26190, Acc: 97.8788, AUC: 0.021212.
Fri Jan 15 03:17:46 2021 Fold 1, Epoch 47, lr: 0.0000033, train loss: 0.00135, valid loss: 3.33333, Acc: 96.9697, AUC: 0.030303.
Fri Jan 15 03:19:13 2021 Fold 1, Epoch 48, lr: 0.0000018, train loss: 0.00316, valid loss: 3.75000, Acc: 96.3636, AUC: 0.036364.
Fri Jan 15 03:20:40 2021 Fold 1, Epoch 49, lr: 0.0000008, train loss: 0.00104, valid loss: 3.03571, Acc: 97.2727, AUC: 0.027273.
Fri Jan 15 03:22:06 2021 Fold 1, Epoch 50, lr: 0.0000002, train loss: 0.00448, valid loss: 2.73810, Acc: 97.5758, AUC: 0.024242.
Fri Jan 15 03:23:34 2021 Fold 2, Epoch 1, lr: 0.0000200, train loss: 1.04398, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 03:25:00 2021 Fold 2, Epoch 2, lr: 0.0002000, train loss: 0.97936, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 03:26:27 2021 Fold 2, Epoch 3, lr: 0.0001998, train loss: 0.89871, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 03:27:54 2021 Fold 2, Epoch 4, lr: 0.0001992, train loss: 0.81234, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 03:29:20 2021 Fold 2, Epoch 5, lr: 0.0001982, train loss: 0.69555, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 03:30:47 2021 Fold 2, Epoch 6, lr: 0.0001967, train loss: 0.53593, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 03:32:14 2021 Fold 2, Epoch 7, lr: 0.0001949, train loss: 0.23598, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 03:33:41 2021 Fold 2, Epoch 8, lr: 0.0001927, train loss: 0.16652, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 03:35:07 2021 Fold 2, Epoch 9, lr: 0.0001901, train loss: 0.11434, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 03:36:34 2021 Fold 2, Epoch 10, lr: 0.0001871, train loss: 0.09976, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 03:38:01 2021 Fold 2, Epoch 11, lr: 0.0001838, train loss: 0.07643, valid loss: 1.19048, Acc: 98.7879, AUC: 0.012121.
Fri Jan 15 03:39:27 2021 Fold 2, Epoch 12, lr: 0.0001801, train loss: 0.04213, valid loss: 0.29762, Acc: 99.6970, AUC: 0.003030.
Fri Jan 15 03:40:54 2021 Fold 2, Epoch 13, lr: 0.0001761, train loss: 0.03732, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 03:42:21 2021 Fold 2, Epoch 14, lr: 0.0001718, train loss: 0.06405, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 03:43:47 2021 Fold 2, Epoch 15, lr: 0.0001672, train loss: 0.03499, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 03:45:14 2021 Fold 2, Epoch 16, lr: 0.0001623, train loss: 0.03780, valid loss: 1.78571, Acc: 98.1818, AUC: 0.018182.
Fri Jan 15 03:46:41 2021 Fold 2, Epoch 17, lr: 0.0001572, train loss: 0.02288, valid loss: 0.59524, Acc: 99.3939, AUC: 0.006061.
Fri Jan 15 03:48:07 2021 Fold 2, Epoch 18, lr: 0.0001518, train loss: 0.01408, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 03:49:47 2021 Fold 2, Epoch 19, lr: 0.0001463, train loss: 0.03591, valid loss: 1.19048, Acc: 98.7879, AUC: 0.012121.
Fri Jan 15 03:51:14 2021 Fold 2, Epoch 20, lr: 0.0001405, train loss: 0.02034, valid loss: 0.89286, Acc: 99.0909, AUC: 0.009091.
